"STATE"	"IDCENSUS"	"NAME"	"CONUM"	"ENROLL"	"TOTALREV"	"TFEDREV"	"TSTREV"	"TLOCREV"	"TOTALEXP"	"TCURISAL"	"TCURIBEN"	"PPCSTOT"	"PPSALWG"	"PPEMPBEN"	"PPITOTAL"	"PPISALWG"	"PPIEMBEN"
"10403"	"OK"	37503370100000	"NAVAJO SCH DIST 1"	40065	483	3597	305	2318	974	4152	1428	411	7683	4362	1193	4400	2957	851
"10404"	"OK"	37503400900000	"RINGLING SCH DIST 14"	40067	425	4233	379	2682	1172	4002	1387	451	9019	4744	1527	5393	3264	1061
"10405"	"OK"	3.7503401e+13	"RYAN SCH DIST 1"	40067	252	2676	172	1797	707	2648	916	249	10464	5611	1433	5357	3635	988
"10406"	"OK"	37503401100000	"TERRAL SCH DIST 3"	40067	68	802	77	550	175	889	263	85	12441	6147	1779	5397	3868	1250
"10407"	"OK"	37503401300000	"WAURIKA SCH DIST 23"	40067	408	4039	326	2503	1210	3920	1452	482	9564	5208	1755	5537	3559	1181
"10408"	"OK"	37503500200000	"COLEMAN SCH DIST 35"	40069	179	1833	188	1065	580	1774	642	213	9626	5156	1709	5709	3587	1190
"10409"	"OK"	37503500600000	"MANNSVILLE SCH DIST 7"	40069	98	1105	223	439	443	951	327	106	9133	4776	1510	4673	3337	1082
"10410"	"OK"	37503500700000	"MILBURN SCH DIST 29"	40069	209	1755	285	835	635	1754	647	225	8057	4450	1555	4507	3096	1077
"10411"	"OK"	37503500800000	"MILL CREEK SCH DIST 2"	40069	171	1660	239	411	1010	1756	563	192	8789	4509	1380	5222	3292	1123
"10412"	"OK"	37503501200000	"RAVIA SCH DIST 10"	40069	87	966	187	425	354	995	419	143	11425	6724	2333	6713	4816	1644
"10413"	"OK"	37503501400000	"TISHOMINGO SCH DIST 20"	40069	973	7982	1277	4493	2212	8434	3215	1039	8153	4768	1532	4794	3304	1068
"10414"	"OK"	37503501600000	"WAPANUCKA SCH DIST 37"	40069	263	2382	261	1199	922	2843	771	249	8433	4335	1392	4395	2932	947
"10415"	"OK"	37503600200000	"BLACKWELL SCH DIST 45"	40071	1360	11460	1340	6612	3508	10921	3564	1297	7280	3842	1371	4353	2621	954
"10416"	"OK"	37503601600000	"KILDARE SCH DIST 50"	40071	78	1014	103	134	777	855	271	80	10538	5949	1705	4692	3474	1026
"10417"	"OK"	37503602100000	"NEWKIRK SCH DIST 29"	40071	848	7655	928	4177	2550	7922	2453	816	8432	4487	1436	5110	2893	962
"10418"	"OK"	37503602200000	"PECKHAM SCH DIST 27"	40071	104	1152	146	411	595	1313	374	154	11375	5413	2135	5413	3596	1481
"10419"	"OK"	37503602600000	"PONCA CITY SCH DIST 71"	40071	5217	47543	4825	21558	21160	48336	13915	5279	8950	4378	1651	4369	2667	1012
"10420"	"OK"	37503602900000	"TONKAWA SCH DIST 87"	40071	729	6248	967	3175	2106	6780	2234	750	8728	4224	1401	4584	3064	1029
